seqnames	start	end	id	score	strand	MCF10A_CTCF_R1.A	MCF10CA1_CTCF_R1.A	MCF10AT1_CTCF_R1.A	cluster_id
chr1	17507809	17508408	1	0	.	0.00252875438453381	0.00366123904036998	0.00314677455608002	5
chr1	40855406	40856005	2	0	.	0.00195774532996166	0.00154157433278736	0.00191054169476287	5
chr1	53444371	53444970	3	0	.	0.0112570356472796	0.0136814722034878	0.0131490222521915	1
chr1	64137039	64137638	4	0	.	0.0159882535280202	0.0159938337026689	0.0178691840863115	4
chr1	65075377	65075976	5	0	.	0.0115833265356065	0.0108873687253107	0.0142728703079344	2
chr1	92818247	92818846	6	0	.	0.0100334448160535	0.0106946719337123	0.0126994830298944	3
chr1	152926012	152926611	7	0	.	0.00905457215107268	0.0115618074959052	0.0109013261407058	3
chr1	154326105	154326704	8	0	.	0.00538379965739457	0.00202331631178341	0.00157338727804001	5
chr1	159071997	159072596	9	0	.	0.00832041765233706	0.00761152326813759	0.00966509327938863	2
chr1	159197820	159198419	10	0	.	0.0168039807488376	0.0189806339724444	0.0159586423915487	6
chr1	161139714	161140313	11	0	.	0.00416020882616853	0.0038539358319684	0.0066307035288829	5
chr1	240004074	240004673	12	0	.	0.00913614487315442	0.0139705173908854	0.0125870982243201	5
chr2	7097132	7097731	13	0	.	0.0121543355901786	0.0116581558917044	0.00460777702854574	5
chr2	64312252	64312851	14	0	.	0.00538379965739457	0.00703343289334233	0.00505731625084289	3
chr2	85728803	85729402	15	0	.	0.0152540990292846	0.0165719240774641	0.00775455158462576	3
chr2	121888087	121888686	16	0	.	0.00358919977159638	0.00847865883033047	0.0105641717239829	3
chr2	162220748	162221347	17	0	.	0.0137857900318134	0.0187879371808459	0.0186558777253315	1
chr2	181954180	181954779	18	0	.	0.00416020882616853	0.00269775508237788	0.0032591593616543	5
chr2	218898149	218898748	19	0	.	0.0095440084835631	0.00423932941516524	0.00179815688918858	5
chr2	222317757	222318356	20	0	.	0.00481279060282242	0.00462472299836208	0.00449539222297145	6
chr2	236352877	236353476	21	0	.	0.0097887266498083	0.00963483957992099	0.0109013261407058	6
chr2	237060785	237061384	22	0	.	0.00848356309650053	0.00712978128914154	0.0066307035288829	2
chr2	237322504	237323103	23	0	.	0.0141120809201403	0.00934579439252336	0.00842886041807148	4
chr3	20340065	20340664	24	0	.	0.00946243576148136	0.00905674920512574	0.0141604855023601	1
chr3	33074409	33075008	25	0	.	0.0169671261930011	0.016957317660661	0.019217801753203	4
chr3	90182444	90183043	26	0	.	0.00677053593278408	0.0103092783505155	0.00955270847381434	4
chr3	126081391	126081990	27	0	.	0.00587323598988498	0.00741882647653917	0.00674308833445718	3
chr3	127254562	127255161	28	0	.	0.0111754629251978	0.0115618074959052	0.00696785794560575	5
chr3	143763533	143764132	29	0	.	0.00497593604698589	0.00712978128914154	0.00438300741739717	4
chr4	7803781	7804380	30	0	.	0.0150909535851211	0.0175354080354562	0.019217801753203	1
chr4	141346018	141346617	31	0	.	0.00709682682111102	0.00558820695635418	0.00550685547314003	6
chr4	187993701	187994300	32	0	.	0.00889142670690921	0.0067443877059447	0.00752978197347719	6
chr5	147391862	147392461	33	0	.	0.0106044538706257	0.0127179882454957	0.0111260957518543	2
chr5	175729735	175730334	34	0	.	0.0211273350191696	0.0262067636573851	0.0249494268374916	4
chr6	10954452	10955051	35	0	.	0.0119096174239334	0.0115618074959052	0.0129242526410429	4
chr6	15623495	15624094	36	0	.	0.00595480871196672	0.00626264572694865	0.00775455158462576	2
chr6	130322472	130323071	37	0	.	0.0150909535851211	0.015126698140476	0.0173072600584401	1
chr6	145633996	145634595	38	0	.	0.00783098131984664	0.00924944599672416	0.0120251741964486	2
chr7	836290	836889	39	0	.	0.0100334448160535	0.00404663262356682	0.00573162508428861	3
chr7	37097172	37097771	40	0	.	0.00285504527286076	0.00105983235379131	0.00146100247246572	5
chr7	45756662	45757261	41	0	.	0.00481279060282242	0.00260140668657867	0.00438300741739717	5
chr7	74866104	74866703	42	0	.	0.0144383718084673	0.0131033818286926	0.0151719487525287	3
chr7	87148262	87148861	43	0	.	0.0128884900889143	0.00944214278832257	0.00775455158462576	3
chr7	124996765	124997364	44	0	.	0.00897299942899095	0.0048174197899605	0.00370869858395145	5
chr8	10424946	10425545	45	0	.	0.010196590260217	0.00809326524713364	0.00202292650033715	1
chr8	32546957	32547556	46	0	.	0.0063626723223754	0.00337219385297235	0.0032591593616543	5
chr9	10855710	10856309	47	0	.	0.000815727220817359	0.0118508526833028	0.00123623286131715	6
chr9	69027570	69028169	48	0	.	0.0123174810343421	0.0184988919934483	0.0202292650033715	2
chr9	72038720	72039319	49	0	.	0.0150093808630394	0.0230272665960112	0.0283209710047202	1
chr9	72280743	72281342	50	0	.	0.0120727628680969	0.0186915887850467	0.0236008091706001	1
chr9	98848339	98848938	51	0	.	0.0142752263643038	0.0187879371808459	0.0213531130591144	1
chr9	113681980	113682579	52	0	.	0.0143567990863855	0.0240870989498025	0.0292200494493145	1
chr9	121169004	121169603	53	0	.	0.00652581776653887	0.00818961364293285	0.0102270173072601	2
chr10	6701217	6701816	54	0	.	0.00399706338200506	0.00173427112438578	0.00236008091706001	5
chr10	34974256	34974855	55	0	.	0.00815727220817359	0.0077078716639368	0.00685547314003147	3
chr11	1999713	2000312	56	0	.	0.00383391793784159	0.00183061952018499	0.0024724657226343	6
chr11	11155946	11156545	57	0	.	0.00734154498735623	0.00809326524713364	0.00865363002922005	2
chr11	19903504	19904103	58	0	.	0.00840199037441879	0.00915309760092494	0.0116880197797258	2
chr11	22426809	22427408	59	0	.	0.00448649971449547	0.00404663262356682	0.0041582378062486	4
chr11	65253925	65254524	60	0	.	0.00962558120564483	0.00761152326813759	0.0091031692515172	4
chr11	66222474	66223073	61	0	.	0.0230035076270495	0.0282300799691685	0.0248370420319173	1
